编号,汉字,拼音,声母,韵母,笔画,部首,多音字,姓氏,含义
7446,祼,ɡuàn,,ɡuan,12,礻,否,否,"古代酌酒灌地的祭礼；对朝见的诸侯行祼礼,以爵酌香酒敬宾客"
7447,婻,nàn,n,an,12,女,否,否,美好的样子；小肥
7448,媆,ruǎn / nèn,r,uan,12,女,是,否,柔美貌
7449,媞,tí,t,i,12,女,否,否,〔～～〕ａ．美好，如“西施～～而不得见兮。”ｂ．安详，如“有女怀芬芳，～～步东厢。”；莎草的子实
7450,㛹,pián,p,ian,12,女,否,否,义未详。使用频率不高
7451,媓,yín,y,in,12,女,否,否,舜的妻子名：“尧闻其（舜）贤……于是妻之以～。”；母亲
7452,媂,dì / tí,d,i,12,女,是,否,〔点～〕女貌；古书上说的神名
7453,媄,měi,m,ei,12,女,否,否,颜色好
7454,毵,sān,s,an,12,毛,否,否,形容毛发、枝条等细长的样子
7455,矞,yù / xù / jué,y,u,12,矛,是,否,以锥穿入；云的色彩；鸟兽惊飞、疾走貌；诡诈
7456,𬴃,huō,h,uo,12,马,否,否,义未详。使用频率不高
7457,𫘨,tí,t,i,12,马,否,否,义未详。使用频率不高
7458,缊,yùn / yūn / wēn,y,un,12,纟,是,否,——见 “絪緼”。即“氤氲” (yīn-yū)
7459,缐,xiàn,x,ian,12,纟,否,否,人名用字；阉割
7460,骙,kuí,k,ui,12,马,否,否,〔骙骙〕形容马强壮
7461,瑃,chūn,ch,un,13,王,否,否,玉名
7462,瑓,liàn,l,ian,13,王,否,否,玉名
7463,瑅,tí,t,i,13,王,否,否,玉名
7464,瑆,xīnɡ,x,inɡ,13,王,否,否,玉光
7465,䴖,jīng,j,ing,13,鸟,否,否,见  〔䴔䴖〕
7466,瑖,duàn,d,uan,13,王,否,否,似玉的美石
7467,瑝,huánɡ,h,uanɡ,13,王,否,否,玉声
7468,瑔,quán,q,uan,13,王,否,否,玉名；贝名
7469,瑀,suǒ,s,uo,13,王,否,否,像玉的石头
7470,𤧛,dì,d,i,13,王,否,否,义未详。使用频率不高
7471,瑳,cuō,c,uo,13,王,否,否,"(形声。从玉,差声。本义:玉色光彩夺目)；同本义；巧笑的样子"
7472,瑂,fēnɡ,f,enɡ,13,王,否,否,似玉的美石
7473,嶅,áo / ào,,ao,13,山,是,否,"山多小石；山名,嶅山；在山东省新泰县东南；在广东省龙川县北"
7474,瑑,zhuàn,zh,uan,13,王,否,否,"(形声。从玉,彖声。本义:玉器上隆起的雕刻花纹) 同本义；指雕刻瑑纹或文字"
7475,遘,ɡòu,,ɡou,13,辶,否,否,"(形声。从辵(chuò),表示与行走有关,冓(gōu)声。本义:遇,遇见)；同本义；构成,造成"
7476,髢,dí,d,i,13,髟,否,否,假发
7477,塥,ɡé,,ɡe,13,土,否,否,[方言] 沙地 。多用于地名
7478,堽,ɡānɡ,,ɡanɡ,13,土,否,否,山脊
7479,赪,chēng,ch,eng,13,赤,否,否,浅红色;红色
7480,摛,chī,ch,i,13,扌,否,否,舒展
7481,塝,bàng,b,ang,13,土,否,否,[方言] 田边土坡;沟渠或土埂的边 ——多用于地名
7482,搒,bàng / péng,b,ang,13,扌,是,否,行船中途停靠
7483,搌,zhǎn,zh,an,13,扌,否,否,拭抹
7484,蒱,pú,p,u,13,艹,否,否,樗蒱。古代的一种博戏。后世亦指赌博
7485,蒨,qiàn,q,ian,13,艹,否,否,用以形容草长得茂盛的状貌
7486,蓏,chú,ch,u,13,艹,否,否,草本植物的果实
7487,蔀,bù,b,u,13,艹,否,否,"覆盖于棚架上以遮蔽阳光的草席；古历法名词 。我国汉初所传六种古代历法,以十九年为章,章有七闰,四章为蔀,二十蔀为纪,六十蔀为元"
7488,蓢,lǎnɡ,l,anɡ,13,艹,否,否,〔南～〕村镇名，在中国广东省
7489,蓂,yūn,y,un,13,艹,否,否,——见“菥蓂”(xīmì)
7490,蒻,yīn,y,in,13,艹,否,否,"蒲之柔弱者,嫩的香蒲,可以做席。蒻席也简称蒻"
7491,蓣,yù,y,u,13,艹,否,否,"——“薯蓣”(shǔyù),又名“山药”,多年生草本植物,开白花或淡黄花,茎细长,卷络于他物,块根可吃"
7492,椹,zhēn / shèn,zh,en,13,木,是,否,地名用字；木上生的菌
7493,楪,dié / yè,d,ie,13,木,是,否,床席；床板；盛食物的小盘
7494,榃,tán,t,an,13,木,否,否,多用作地名
7495,榅,wēn / yùn,w,en,13,木,是,否,〔～桲〕ａ．落叶灌木或小乔木，叶椭圆形，花白色或淡红色，果实秋季成熟。ｂ．榅桲树的果实，黄色，有香气，味甘酸，可以吃，又供药用；根
7496,楒,sī,s,i,13,木,否,否,"木名。即相思树。豆科,蔓生灌木。叶为羽状复叶,花呈蝶形,白色或带红色"
7497,楞,lénɡ,l,enɡ,13,木,否,否,(同“棱”。本义:四方木;棱角)
7498,楩,pián,p,ian,13,木,否,否,古书上说的一种树。亦称“黄楩木。”
7499,榇,chèn,ch,en,13,木,否,否,"古时指空棺,后泛指棺材；梧桐的别名"
7500,椸,yí,y,i,13,木,否,否,衣架
7501,楙,mào,m,ao,13,木,否,否,古书上说的冬天成熟的一种桃
7502,歅,yān / yīn,y,an,13,欠,是,否,淤塞；凝滞
7503,𬪩,nóng,n,ong,13,酉,否,否,义未详。使用频率不高
7504,碃,qìnɡ,q,inɡ,13,石,否,否,石
7505,碏,què,q,ue,13,石,否,否,石杂色
7506,𬒔,gěng,g,eng,13,石,否,否,义未详。使用频率不高
7507,碈,mín,m,in,13,石,否,否,[方言] 一种类似涵洞而较小的地下排水建筑。多用于地名
7508,䃅,dī,d,i,13,石,否,否,用于人名，金日䃅，汉代人
7509,硿,kōnɡ,k,onɡ,13,石,否,否,撞击声
7510,鄠,hù,h,u,13,阝,否,否,汉县名 。故治在今陕西省户县北
7511,辒,wēn,w,en,13,车,否,否,"(形声。从车,昷声。本义:卧车) 古代的一种可以卧息的车"
7512,𬨎,yóu,y,ou,13,车,否,否,义未详。使用频率不高
7513,𫐓,róu,r,ou,13,车,否,否,义未详。使用频率不高
7514,龆,tiáo,t,iao,13,齿,否,否,儿童换牙；指小儿垂发；儿童
7515,觜,zī / zuǐ,z,i,13,角,是,否,即觜宿 三、(猎户座φ&-{2})三颗星
7516,䣘,táng,t,ang,13,阝,否,否,义未详。使用频率不高
7517,暕,jián / lán,j,ian,13,日,是,否,阴雨天晴
7518,鹍,kūn,k,un,13,鸟,否,否,《鹍鸡曲》的省称
7519,𫫇,è,,e,13,口,否,否,义未详。使用频率不高
7520,㬊,huǎn,h,uan,13,日,否,否,明
7521,暅,ɡènɡ,,ɡenɡ,13,日,否,否,曝;晒干
7522,跱,zhì,zh,i,13,足,否,否,站立：“鹤～而不食。”；耸立；屹立：“山海竦～。”；对峙：“方今英雄棋～。”；准备；储备：“～乃糗粮。”
7523,蜐,jié,j,ie,13,虫,否,否,"水生动物。即石蜐 。体形像龟脚的一种甲壳动物,故称“龟足”"
7524,蜎,yuān,y,uan,13,虫,否,否,孑孓。蚊子的幼虫
7525,嵲,niè,n,ie,13,山,否,否,——“嵽嵲”(diéniè):形容山高
7526,赗,fèng,f,eng,13,贝,否,否,用财物帮助人办丧事
7527,骱,jiè,j,ie,13,骨,否,否,[方言] 骨节与骨节衔接的地方
7528,锖,qiānɡ,q,ianɡ,13,钅,否,否,精
7529,𫓹,jī,j,i,13,钅,否,否,义未详。使用频率不高
7530,锘,nuò,n,uo,13,钅,否,否,"人工生产(如用碳离子轰击锔)的放射性元素,原子序数102 ——元素符号No"
7531,锳,yīng,y,ing,13,钅,否,否,铃声
7532,锧,zhì,zh,i,13,钅,否,否,"铁砧；古代腰斩用的垫座；斧。多指古腰斩刑具,两斤相合,如后之铡刀；星名。“铁锧”的省称；斩,杀"
7533,锪,huō,h,uo,13,钅,否,否,用埋头钻(锪钻)在一钻孔上钻出漏斗形的凹坑
7534,𬭚,chún / duì,ch,un,13,钅,是,否,义未详。使用频率不高
7535,锫,péi,p,ei,13,钅,否,否,用氦离子轰击镅-241而发现的一种放射性金属元素 ——元素符号Bk
7536,锬,tán,t,an,13,钅,否,否,长矛
7537,𬭛,bō,b,o,13,钅,否,否,义未详。使用频率不高
7538,稑,lù,l,u,13,禾,否,否,早种晚熟的谷物
7539,稙,zhì,zh,i,13,禾,否,否,早种或早熟的(庄稼)
7540,䅟,cǎn,c,an,13,禾,否,否,一年生草本植物，茎有很多分枝，叶子狭长。子实椭圆形，可以吃
7541,𬕂,lǒng,l,ong,13,⺮,否,否,义未详。使用频率不高
7542,筻,ɡànɡ,,ɡanɡ,13,竹,否,否,筻口镇，在湖南省岳阳市
7543,筼,yún,y,un,13,竹,否,否,一种皮薄、节长而竿高的竹子
7544,筶,ɡǎo,,ɡao,13,竹,否,否,古代占卜用具，用类似于蚌壳的两半器物制成，合拢拿在手里，掷于地，观其俯仰，以占吉凶
7545,筦,ɡuǎn,,ɡuan,13,竹,否,否,古代绕丝的竹管；“管”的异体字
7546,筤,láng / làng,l,ang,13,竹,是,否,古代车盖的竹骨架；幼竹；〔苍～〕青色，如“震为雷，……为～～竹。”；竹丛
7547,傺,chì,ch,i,13,亻,否,否,"住,逗留"
7548,鹎,bēi,b,ei,13,鸟,否,否,"鹎科(Pycnonotidae)各种鸟的通称 。大多成群活动,叫声明亮动听,以浆果及昆虫为食"
7549,僇,lù,l,u,13,亻,否,否,行动迟缓；肃静；侮辱；杀戮；火耕
7550,艅,yú,y,u,13,舟,否,否,一种大船
7551,艉,wěi,w,ei,13,舟,否,否,船体的尾部
7552,谼,hóng,h,ong,13,谷,否,否,深沟；大谷：“余流滑无声，快泻双石～。”；桥拱：“桥～各二丈。”；大水：“是时山泐桐柏，发～喷涌，下注淮渎。”
7553,貆,huán / huān,h,uan,13,豸,是,否,幼小的貉；豪猪
7554,腽,wà,w,a,13,月,否,否,肥胖
7555,腨,shuàn,sh,uan,13,月,否,否,小腿肚子：“刺～入二寸。”
7556,腯,dùn,d,un,13,月,否,否,肥壮。多用以形容牲畜
7557,鲉,yóu,y,ou,13,鱼,否,否,"鲉鱼  体侧扁,头部有许多棘状突起,生活在海中"
7558,鲊,zhǎ,zh,a,13,鱼,否,否,盐腌的鱼；泛指盐腌食品
7559,鲌,bó / bà,b,o,13,鱼,是,否,"白鱼 。鱼纲鲤科。嘴斜,向上翘;腹面有肉棱,生活在淡水中"
7560,䲟,yìn,y,in,16,鱼,否,否,也叫印头鱼。鱼类。体略呈圆筒形，长可达80厘米。头平扁，头顶有吸盘，常吸附于鲨、鲸、海豚等身上或船底而移徙远方。中国沿海均产
7561,𬶋,jū,j,u,13,鱼,否,否,义未详。使用频率不高
7562,𬶍,tuó,t,uo,13,鱼,否,否,义未详。使用频率不高
7563,鲏,pí,p,i,13,鱼,否,否,见“鳑鲏”(pángpí)。鱼纲鲤科 生活在淡水的小型鱼类 身体侧扁，卵圆形，似鲫而小，银灰色，常带橙黄或蓝色斑纹
7564,雊,tánɡ,t,anɡ,13,隹,否,否,野鸡叫
7565,猺,yáo,y,ao,13,犭,否,否,"兽名 。哺乳动物,毛皮可制衣服"
7566,飔,sī,s,i,13,风,否,否,"飔风,即疾风。也单用作“飔”；凉风;凉爽"
7567,觟,huà / xiè,h,ua,13,角,是,否,有角的母羊；姓
7568,𦝼,lǘ,l,v,13,月,否,否,义未详。使用频率不高
7569,馌,yè,y,e,13,饣,否,否,"(形声。从食,盍声。本义:给在田耕作的人送饭)同本义"
7570,裛,yì,y,i,13,衣,否,否,缠裹；香气熏染侵袭；沾湿
7571,廒,áo,,ao,13,广,否,否,"(形声。从广,敖声。本义:粮库) 同本义"
7572,瘀,yū,y,u,13,疒,否,否,凝滞；郁积;停滞
7573,瘅,dàn / dān,d,an,13,疒,是,否,热症;湿热症
7574,鄘,yōnɡ,y,onɡ,13,阝,否,否,"(形声。从邑,庸声。邑,表示城邑或区域。本义:古国名。周武王灭商后,使其弟蔡叔居之) 周朝国名,在今河南汲县北"
7575,鹒,yánɡ,y,anɡ,13,鸟,否,否,—— 见“鸧鹒”(cānggēng)
7576,鄜,fū,f,u,13,阝,否,否,"地名 战国魏雕阴邑,秦雕阴县,隋分置洛交县。今属陕西省延安地区。1964年改为富县；姓"
7577,麀,yōu,y,ou,13,鹿,否,否,母鹿；泛指母兽
7578,鄣,zhānɡ,zh,anɡ,13,阝,否,否,"古邑名 。本为纪国边邑；古郡名 。秦置。汉为故鄣,属丹阳郡。今浙江省长兴县西南有故鄣城；阻塞,阻隔"
7579,阘,tà,t,a,13,门,否,否,门楼上屋；门上横梁
7580,𫔶,niè,n,ie,13,门,否,否,义未详。使用频率不高
7581,煁,chén,ch,en,13,火,否,否,古代一种可以移动的火炉：“樵彼桑薪，卬烘于～。”
7582,煃,kuǐ,k,ui,13,火,否,否,火貌
7583,煴,yūn / yùn,y,un,13,火,是,否,"(形声。从火,昷(wēn)声。本义:郁烟,不见火焰的燃烧而产生出来的许多烟)；同本义；微火;无焰的火；暖和;温暖；温和;宽容"
7584,煋,xīnɡ,x,inɡ,13,火,否,否,火烈；火光四射
7585,煟,wèi,w,ei,13,火,否,否,光明；〔～煌〕快速；兴盛
7586,煓,tuān,t,uan,13,火,否,否,火炽盛
7587,滠,shè,sh,e,13,氵,否,否,"水名 。有二源:一出湖北省红安县,一出河南省罗山县,至黄陂县合而南流,纳诸湖水,入长江"
7588,溍,jìn,j,in,13,氵,否,否,水名；水貌
7589,溹,suò,s,uo,13,氵,否,否,〔～水〕今中国河南省索河的古称
7590,滆,ɡé,,ɡe,13,氵,否,否,"湖名。一名西滆湖,俗称沙子湖 。在江苏省南部宜兴、武进两县间。西接长荡湖来水,向东注入太湖"
7591,滉,huànɡ,h,uanɡ,13,氵,否,否,水深广的样子。也泛指深广
7592,溦,wēi,w,ei,13,氵,否,否,小雨
7593,溵,yīn,y,in,13,氵,否,否,中国唐代州名
7594,漷,huǒ,h,uo,13,氵,否,否,"水名 。又名新河,在北京市通县境；古县名"
7595,滧,xiào,x,iao,13,氵,否,否,方言，天然港汊（用于地名）：六～港；五～乡（均在中国上海市崇明县）
7596,滘,jiào,j,iao,13,氵,否,否,[方言] 分支的河道 。多用于地名
7597,滍,zhì,zh,i,13,氵,否,否,"古水名 。即今河南鲁山、叶县境内的沙河；滍阳 ,地名,在河南"
7598,愭,qí,q,i,13,忄,否,否,恭顺；畏惧
7599,慥,zào,z,ao,13,忄,否,否,仓促
7600,慆,tāo,t,ao,13,忄,否,否,"(形声。从心,舀(yǎo)声。本义:喜悦)；同本义；隐藏;掩饰；怀疑；用同“叨”。贪；怠惰"
7601,塱,xì,x,i,13,土,否,否,江湖边上的低洼地；地名用字
7602,𫌀,jī,j,i,13,衤,否,否,义未详。使用频率不高
7603,裼,xī / tì,x,i,13,衤,是,否,婴儿的包被
7604,禋,yīn,y,in,13,礻,否,否,祭名。升烟祭天以求福
7605,禔,zhī,zh,i,13,礻,否,否,安宁;安享
7606,禘,dì,d,i,13,礻,否,否,"(形声。从示,帝声。本义:古代帝王、诸侯举行各种大祭的总名)；同本义；细察"
7607,禒,xiǎn,x,ian,13,礻,否,否,祭余之肉
7608,谫,jiǎn,j,ian,13,讠,否,否,浅薄
7609,鹔,sù,s,u,13,鸟,否,否,传说中的一种西方神鸟
7610,𫖳,yūn,y,un,13,页,否,否,义未详。使用频率不高
7611,愍,mǐn,m,in,13,心,否,否,"(形声。从心,敃(mǐn)声。本义:忧患;痛心的事) 同本义；怜悯;哀怜"
7612,嫄,yuán,y,uan,13,女,否,否,"——用于人名,姜嫄,传说是周朝祖先后稷的母亲"
7613,媱,yáo,y,ao,13,女,否,否,曲肩行的样子；嬉戏，玩乐；美好
7614,戤,ɡài,,ɡai,13,戈,否,否,以实物抵押；倚;靠；为冒牌图利而制造
7615,勠,lù,l,u,13,力,否,否,合；一起
7616,戣,kuí,k,ui,13,戈,否,否,古代戟一类的兵器
7617,𫘪,yuán,y,uan,13,马,否,否,义未详。使用频率不高
7618,𫘬,xí,x,i,13,马,否,否,义未详。使用频率不高
7619,缞,cuī / suī / shuāi,c,ui,13,纟,是,否,"(形声。从糸(mì),衰声。本义:古代丧服,用麻布制成,披在胸前) 同本义。亦作“衰”"
7620,耤,jí / jiè,j,i,14,耒,是,否,帝王亲自耕种（田地）：“亲祭先农，～于千亩之甸。”；租税
7621,瑧,zhēn,zh,en,14,王,否,否,玉名
7622,𫞩,mén,m,en,15,王,否,否,义未详。使用频率不高
7623,瑨,jìn,j,in,14,王,否,否,像玉的石头。多用于人名
7624,瑱,tiǎn,t,ian,14,王,否,否,古人冠冕上分垂于两耳侧的玉饰;美玉
7625,瑷,ài,,ai,14,王,否,否,"美玉；又作地名用字。瑷珲,县名,在黑龙江,今作“爱辉”"
7626,瑢,rónɡ,r,onɡ,14,王,否,否,“琮瑢”（cōngróng）:佩玉相碰的声音
7627,斠,jiào,j,iao,14,斗,否,否,量谷物时用器具使谷物与斗斛平齐。亦指刮平斗斛的器具 。引申为主持公平；校对
7628,摏,chōnɡ,ch,onɡ,14,扌,否,否,撞击：“～其喉以戈，杀之。”
7629,墕,yàn,y,an,14,土,否,否,[方言] 两山之间的山地
7630,墈,kàn,k,an,14,土,否,否,"险陡的悬崖,或有相当大陡度的斜坡的一面"
7631,墐,jìn,j,in,14,土,否,否,用泥涂塞；掩埋
7632,墘,qián,q,ian,14,土,否,否,"[方言] 旁边；附近；旁边,附近；器物的边沿"
7633,摴,chī,ch,i,14,扌,否,否,姓
7634,銎,qiónɡ,q,ionɡ,14,金,否,否,斧头上装柄的孔；后泛指农器上的孔
7635,𡐓,kāng,k,ang,14,土,否,否,义未详。使用频率不高
7636,墚,liánɡ,l,ianɡ,14,土,否,否,"中国西北地区黄土高原上呈条状延伸的岭冈 。顶面较平缓,两侧为狭深的沟谷"
7637,撖,hàn,h,an,14,扌,否,否,姓
7638,𪤗,liào,l,iao,14,土,否,否,义未详。使用频率不高
7639,靽,bàn,b,an,14,革,否,否,驾车时套在牲口后部的皮带
7640,鞁,bài,b,ai,14,革,否,否,古代套车用的器具
7641,蔌,sù,s,u,14,艹,否,否,蔬菜的总称；(如卷心菜、马铃薯、豆子或芜菁)
7642,蔈,biāo,b,iao,14,艹,否,否,开黄花的凌霄花（一种藤本植物）；白茅的花穗；浮萍；末尾
7643,蓰,xǐ,x,i,14,艹,否,否,(形声。徙(xǐ)声。本义:五倍为蓰) 同本义
7644,蔹,liǎn,l,ian,14,艹,否,否,"——葡萄科藤本植物的泛称。以果熟时不同颜色,而有白蔹、赤蔹、乌蔹莓等"
7645,蔊,hàn,h,an,14,艹,否,否,（又）[蔊菜]草本植物，茎部叶长椭圆形，花小，黄色，嫩茎叶可以吃，全草入药
7646,嘏,ɡǔ,,ɡu,14,口,否,否,"古代祭祀时,执事人(祝)为受祭者(尸)致福于主人；福；指寿辰；大"
7647,榰,xiānɡ,x,ianɡ,14,木,否,否,柱下的木础或石础；支撑
7648,榑,fú / fù / bó,f,u,14,木,是,否,传说中的神木名
7649,槚,jiǎ,j,ia,14,木,否,否,古书上指楸树或茶树
7650,𣗋,dǎng,d,ang,14,木,否,否,义未详。使用频率不高
7651,槜,zhì,zh,i,14,木,否,否,〔～李〕ａ．李子的一种品种，果皮鲜红，汁多，味甜；ｂ．古地名，在今中国浙江省嘉兴市一带
7652,榍,xiè,x,ie,14,木,否,否,门槛
7653,疐,zhì,zh,i,14,疋,否,否,绊倒
7654,𬸘,yǎn,y,an,14,鸟,否,否,义未详。使用频率不高
7655,酺,pú,p,u,14,酉,否,否,"(形声。从酉(yǒu),甫声。从“酉”与酒有关。本义:聚饮。古指国有喜庆,特赐臣民聚会饮酒) 同本义；神名。主人物灾害"
7656,酾,shāi,sh,ai,14,酉,否,否,——“酾”(shī)的又音
7657,酲,chénɡ,ch,enɡ,14,酉,否,否,"(形声。从酉(yǒu),呈声。“酉”,意思是酒。本义:酒醒后神志不清有如患病的感觉)；同本义；烦病；酒醒;清醒；酒醉不醒的"
7658,酴,tú,t,u,14,酉,否,否,酒曲；酒名。俗称“酒酿”、“酒埌”
7659,碶,qì,q,i,14,石,否,否,水闸
7660,䃎,zhà,zh,a,14,石,否,否,大水䃎（Dàshuǐzhà），地名，在甘肃
7661,𬒗,lán,l,an,14,石,否,否,义未详。使用频率不高
7662,碨,wèi,w,ei,14,石,否,否,[方言] 石磨。引申为研磨
7663,𥔲,è,,e,14,石,否,否,义未详。使用频率不高
7664,碹,xuàn,x,uan,14,石,否,否,桥梁、涵洞等工程建筑中永久性拱形支架
7665,碥,biǎn,b,ian,14,石,否,否,水流急的险处
7666,劂,jué,j,ue,14,刂,否,否,——见“剞劂”(jījué)
7667,𫚖,zī,z,i,14,鱼,否,否,义未详。使用频率不高
7668,䴗,jú,j,u,14,鸟,否,否,古书上指伯劳
7669,夥,huǒ,h,uo,14,夕,否,否,"(形声。从多,果声。本义:盛多) 同本义"
7670,瞍,sǒu,s,ou,14,目,否,否,眼睛瞎没有眼珠；对长者的称呼；缩
7671,鹖,hé,h,e,14,鸟,否,否,"(形声。从鸟,曷声。本义:鹖鸡,今名褐马鸡)；同本义；注:“似鸡,五色,冬无毛,赤裸,昼夜鸣”。按,黄黑色,勇于斗一死乃止,故赵武灵王表武士以鹖尾,竖左右为鹖冠"
7672,㬎,xiǎn,x,ian,14,日,否,否,同“显”
7673,跽,jì,j,i,14,足,否,否,"长跪。长时间双膝着地,上身挺直；又指半跪,单膝着地"
7674,蜾,ɡuǒ,,ɡuo,14,虫,否,否,寄生蜂的一种，常用泥土在墙上或树枝上做窝，捕捉螟蛉等小虫存在窝里，留作将来幼虫的食物
7675,幖,biāo,b,iao,14,巾,否,否,标志；酒店的招子；用文字或其他事物表明
7676,嶍,xí,x,i,14,山,否,否,"山名 。在云南省峨山彝族自治县东北,与蛾山合称“嶍峨山”"
7677,圙,lüè,l,ve,14,囗,否,否,"——“圐圙”(kūlüè):蒙语指围起来的草场,现多用于村镇名称。现常用的译名为“库伦”"
7678,𨱏,dā,d,a,14,钅,否,否,义未详。使用频率不高
7679,锺,zhōnɡ,zh,onɡ,14,钅,否,否,（鍾）；曾作“鍾”的简化字，后停用
7680,锼,sōu,s,ou,14,钅,否,否,"镂刻；蚀,侵削；铁锈"
7681,锽,huáng,h,uang,14,钅,否,否,形容金属制打击乐器的洪亮声；钟声；一种似钺的兵器。汉唐用作仪仗
7682,𬭤,hóu,h,ou,14,钅,否,否,义未详。使用频率不高
7683,锾,huán,h,uan,14,钅,否,否,"古代重量单位,或说等于六两,或说等于六两半；钱币；圆环"
7684,锿,āi,,ai,14,钅,否,否,"人造放射性元素,原子序数99(用中子轰击钚即可产生) ——元素符号Es"
7685,镃,zī,z,i,14,钅,否,否,〔镃基〕也作镃。古代一种锄头
7686,镄,fèi,f,ei,14,钅,否,否,"人工生产(如用中子轰击钚)的一种放射性金属元素,原子序数100 ——元素符号Fm"
7687,镅,méi,m,ei,14,钅,否,否,"一种放射性金属元素,用高能氦核轰击铀而产生 ——元素符号Am"
7688,馝,bì,b,i,14,香,否,否,香气浓烈：“俎豆有～。”
7689,鹙,qiū,q,iu,14,鸟,否,否,"秃鶖。古书上的一种水鸟,头和颈上都没有毛,性贪恶,食鱼、蛇、鸟雏等。也嘲称无发之人；鶖鹤(秃鹤与白鹤)"
7690,箨,tuò,t,uo,14,竹,否,否,"(形声。从竹,择声。本义:竹皮、笋壳) 同本义"
7691,箖,lín / lǐn,l,in,14,竹,是,否,古书上说的一种竹子，叶薄而宽
7692,劄,zhā / zhá,zh,a,14,刂,是,否,针刺；驻扎；站立
7693,僬,jiāo,j,iao,14,亻,否,否,"僬侥 ,古代传说中的矮人"
7694,僦,jiù,j,iu,14,亻,否,否,"(形声。从人,就声。本义:租赁)；同本义；租金,赁金"
7695,僔,zǔn,z,un,14,亻,否,否,聚
7696,僎,zhuàn,zh,uan,14,亻,否,否,著书
7697,槃,pán,p,an,14,木,否,否,"(形声。从木,般声。本义:承盘,亦特指承水盘)；同本义；犁辕前可转动的部分；盘绕;屈曲"
7698,㙦,xié,x,ie,14,土,否,否,麦㙦（Màixié），地名，在江西
7699,鲒,jié,j,ie,14,鱼,否,否,古书上说的一种蚌
7700,鲕,ér,,er,14,鱼,否,否,"鱼苗,小鱼"
7701,𫚕,shī,sh,i,14,鱼,否,否,义未详。使用频率不高
7702,鲖,tóng,t,ong,14,鱼,否,否,鱼名。即“鳢鱼”；鲖蟹
7703,鲗,zéi,z,ei,14,鱼,否,否,"墨鱼,乌贼 。乌贼科的十腕海洋头足类软体动物"
7704,鲘,hòu,h,ou,14,鱼,否,否,鱼名。即“鳠”
7705,鲙,kuài,k,uai,14,鱼,否,否,",细切肉；鱼名,亦名鳓鱼"
7706,𬶐,zhào,zh,ao,14,鱼,否,否,义未详。使用频率不高
7707,𬶏,wéi,w,ei,14,鱼,否,否,义未详。使用频率不高
7708,𩽾,ān,,an,14,鱼,否,否,义未详。使用频率不高
7709,夐,xiòng,x,iong,14,夂,否,否,"假借为“远”。辽远,距离遥远的；久远,长久；高超；高尚；常常"
7710,獍,jìnɡ,j,inɡ,14,犭,否,否,"古书上说的一种像虎豹的兽,生下来就吃生它的母兽"
7711,飗,liú,l,iu,14,风,否,否,（飀）；〔～～〕微风吹动的样子；（飀）
7712,𬸚,yuè,y,ue,14,鸟,否,否,义未详。使用频率不高
7713,凘,sī,s,i,14,冫,否,否,漂流的冰；细碎的薄冰
7714,廑,jǐn / qín,j,in,14,广,是,否,"小屋；假借为“仅”。才,只；蒙受;接受"
7715,廙,yì,y,i,14,广,否,否,蒙古包一类的帐篷；恭敬
7716,瘗,yì,y,i,14,疒,否,否,埋物祭地；埋葬；埋藏;隐藏；坟墓
7717,瘥,chài / cuó,ch,ai,14,疒,是,否,病除(病已去体;病有好转)；治好病
7718,瘕,jiǎ / xiá / xiā,j,ia,14,疒,是,否,腹中生的虫病
7719,鲝,zhǎ,zh,a,14,鱼,否,否,"盐腌的鱼；。鲝草滩,地名,在四川"
7720,鄫,zēnɡ,z,enɡ,14,阝,否,否,中国周代诸侯国名，在今山东省枣庄市东；中国春秋时郑的一个附庸国，在今河南省柘城县北；姓
7721,熇,hè / kào,h,e,14,火,是,否,火势猛烈
7722,漹,lónɡ,l,onɡ,14,氵,否,否,古河名。a.在今中国山西省西部；b.为今中国湖北省宜城县蛮河
7723,漖,jiào,j,iao,14,氵,否,否,"水名；东漖 ,地名,在广州市郊区"
7724,潆,yínɡ,y,inɡ,14,氵,否,否,水流环绕回旋的样子；水;大水
7725,漤,lǎn,l,an,14,氵,否,否,用盐或其他调味品拌
7726,潩,yì,y,i,14,氵,否,否,〔～水〕今中国河南省清潩河的古称
7727,漼,cuǐ,c,ui,14,氵,否,否,水深的样子；涕泪流下的样子
7728,漴,chóng / zhuàng,ch,ong,14,氵,是,否,〔～河〕水名，在中国安徽省五河县
7729,㽏,gàn,g,an,14,甘,否,否,㽏井沟（Gànjǐnggōu），地名，在重庆忠县
7730,漈,jì,j,i,14,氵,否,否,海底深陷处；水边
7731,漋,lóng,l,ong,14,氵,否,否,从高处下流而来的水
7732,漻,liáo / liú,l,iao,14,氵,是,否,（水）清澈：“～乎其清也。”；停聚的（水）：“（禹）通大川，决壅塞，凿龙门，降通～水以导河。”；静：“寂～无声。”；〔～水〕河名，在中国湖北省；气盛：“～然丰满而手足拇动者，兵甲之色也。”
7733,慬,qín / jìn / jǐn,q,in,14,忄,是,否,勇敢：“此而不报，无以立～于天下。”；忧愁；烦恼
7734,窬,yú,y,u,14,穴,否,否,"门边像圭形的小洞；从墙上爬过去；凿穿；非分的希望、企图,觊觎"
